rank,title,artist,album,img_url
69,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/539/814/84539814_1701067108915_1_140x140.JPG/dims/resize/Q_80,0"
70,살기 위해서,순순희,살기 위해서,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/631/752/82631752_1650601078032_1_140x140.JPG/dims/resize/Q_80,0"
71,When I Get Old,Christopher & 청하,When I Get Old,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/073/238/83073238_1665772282151_1_140x140.JPG/dims/resize/Q_80,0"
72,Supersonic,프로미스나인,Supersonic,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/506/199/85506199_1723425988903_1_140x140.JPG/dims/resize/Q_80,0"
73,인사,범진,인사,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/451/947/82451947_1701745934582_1_140x140.JPG/dims/resize/Q_80,0"
74,밤양갱,비비 (BIBI),밤양갱,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/783/137/84783137_1707790321067_1_140x140.JPG/dims/resize/Q_80,0"
75,녹아내려요,DAY6 (데이식스),Band Aid,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/555/820/85555820_1725246758806_1_140x140.JPG/dims/resize/Q_80,0"
76,number one girl,로제 (ROSÉ),number one girl,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/798/066/85798066_1732235885781_1_140x140.JPG/dims/resize/Q_80,0"
77,어른,Sondia,나의 아저씨 OST Part. 2 (tvN 수목드라마),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/048/807/81048807_1522310270525_1_140x140.JPG/dims/resize/Q_80,0"
78,벌써 일년,브라운 아이즈,Brown Eyes,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/025/106/15025106_1300972028338_1_140x140.JPG/dims/resize/Q_80,0"
79,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/673/272/80673272_1617265225691_1_140x140.JPG/dims/resize/Q_80,0"
80,London Boy,임영웅,Polaroid,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/180/213/83180213_1668490985544_1_140x140.JPG/dims/resize/Q_80,0"
81,그대가 내 안에 박혔다 (그내박),순순희 (기태),그대가 내 안에 박혔다 (그내박),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/455/650/83455650_1674181701775_1_140x140.JPG/dims/resize/Q_80,0"
82,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/030/640/84030640_1689068777071_1_140x140.JPG/dims/resize/Q_80,0"
83,Polaroid,임영웅,Polaroid,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/180/213/83180213_1668490985544_1_140x140.JPG/dims/resize/Q_80,0"
84,희재,성시경,국화꽃 향기 OST,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/027/331/15027331_1464600209946_1_140x140.JPG/dims/resize/Q_80,0"
85,Congratulations,DAY6 (데이식스),The Day,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/683/898/80683898_1441353050316_1_140x140.JPG/dims/resize/Q_80,0"
86,Stay,The Kid LAROI & Justin Bieber,Stay,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/130/513/82130513_1625722837604_1_140x140.JPG/dims/resize/Q_80,0"
87,Do or Die,임영웅,Do or Die,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/347/557/84347557_1696578032588_1_140x140.JPG/dims/resize/Q_80,0"
88,숲,최유리,유영,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/923/028/82923028_1661306447379_1_140x140.JPG/dims/resize/Q_80,0"
89,인생찬가,임영웅,IM HERO,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0"
90,보금자리,임영웅,IM HERO,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0"
91,연애편지,임영웅,IM HERO,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0"
92,참 다행이야,Spapa,Rebegining Story 2004,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/029/228/15029228_1449198507922_1_140x140.JPG/dims/resize/Q_80,0"
93,뱅뱅뱅 (BANG BANG BANG),BIGBANG (빅뱅),A,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/599/976/80599976_1433164715307_1_140x140.JPG/dims/resize/Q_80,0"
94,"무제(無題) (Untitled, 2014)",G-DRAGON,권지용,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/954/432/80954432_1496903717289_1_140x140.JPG/dims/resize/Q_80,0"
95,Sticky,KISS OF LIFE,Sticky,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/369/841/85369841_1719542210893_1_140x140.JPG/dims/resize/Q_80,0"
96,청바지,부석순 (SEVENTEEN),부석순 2nd Single Album 'TELEPARTY',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/911/042/85911042_1736298717582_1_140x140.JPG/dims/resize/Q_80,0"
97,취중고백,김민석,취중고백,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/443/459/82443459_1639718817315_1_140x140.JPG/dims/resize/Q_80,0"
98,시작의 아이,마크툽 (Maktub),시작의 아이 ハジマリのコ (Starting With You),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/890/727/85890727_1734944366240_1_140x140.JPG/dims/resize/Q_80,0"
99,붉은 노을,BIGBANG (빅뱅),REMEMBER,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/070/022/032/70022032_1404809056891_1_140x140.JPG/dims/resize/Q_80,0"
100,ETA,NewJeans,NewJeans 2nd EP 'Get Up',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/019/740/84019740_1688692234715_1_140x140.JPG/dims/resize/Q_80,0"
rank,title,artist,album,img_url
